record_id,admin_region,basin,altitude_masl,altitudinal_belt,site_name,unit,sub_unit,c14_lab_code,material,material_detail,c14_bp,c14_error,d13C_ams,reference_short,context_domestic,context_funerary,context_agriculture,context_other,c14_cal_from,c14_cal_to,c14_cal_median,ecozone
157,Tarapacá,Llamara,1240.0,Lowland,Guatacondo 4,3-7,1E,UGAMS-20234,Vegetal,Charcoal,2470,20,-,Uribe et al. 2020,X,,,,2680,2340,2420,Lowlands
158,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,C-1/R-1,Upper level,Beta-48822 ,Vegetal,Wood (housepost),2040,60,-,Rivera 1994,X,,,,2100,1760,1950,Lowlands
159,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,C-1/R-1,N-sup.,GX-21725 ,Vegetal,Maize ,2210,55,-,Rivera et al. 1995-96; Rivera 2001 ,X,,,,2330,2010,2160,Lowlands
160,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,C-1/R-1,"Sup section lower level, from metate",GX-19200 ,Vegetal,Prosopis fruit,2297,73,-,Graffam et al. 1996 ,X,,,,2470,2060,2240,Lowlands
161,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,C-1/R-1,Pole 3,GX-19201,Vegetal,Wood (housepost),2480,100,-,Rivera 1994; Graffam et al. 1996 ,X,,,,2750,2160,2520,Lowlands
162,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,C-1/R-1,Lower level,AA-35463 ,Vegetal,"Charcoal, basket contents",2555,45,-,Rivera 2002,X,,,,2750,2370,2590,Lowlands
163,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,C-2/R-22,Lower level,TO-4810 ,Vegetal,Prosopis fruit,2060,60,-,Graffam et al. 1996 ,X,,,,2120,1830,1970,Lowlands
164,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,C-2/R-22,Central suport post,GX-19202,Vegetal,Wood (housepost),2735,255,-,Rivera 1994; Graffam et al. 1996 ,X,,,,3440,2150,2820,Lowlands
165,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,C-3/R-55,Surface furnace,Beta-50834 ,Vegetal,Charcoal,2320,60,-,Graffam et al. 1996 ,X,,,,2460,2110,2240,Lowlands
166,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,C2/R-17,E-Sup,Beta-314509,Vegetal,Wood ,2240,30,-,Uribe and Vidal 2012 ,X,,,,2330,2110,2240,Lowlands
167,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,-,-,UCIAMS-171956,Vegetal,Prosopis fruit,2125,20,-,McRostie et al. 2017,X,,,,2100,2000,2050,Lowlands
168,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,-,-,AA-53448 ,Vegetal,Plant material ,2278,46,-,Rivera 2002,X,,,,2350,2130,2230,Lowlands
169,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,R-41,E-1,Beta-314511,Vegetal,Charcoal,2030,30,-,Uribe and Vidal 2012 ,X,,,,2010,1880,1950,Lowlands
170,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,R-41,E-4 (124 cm),Beta-314510,Vegetal,Wood ,2240,30,-,Uribe and Vidal 2012 ,X,,,,2330,2110,2240,Lowlands
171,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,R-57,F-8,TO-3573 ,Vegetal,Prosopis fruit,2040,50,-,Graffam et al. 1996 ,X,,,,2090,1830,1950,Lowlands
172,Tarapacá,Llamara,1110.0,Lowland,Ramaditas ,R-5I Ext.,E-1/F-1,Beta-314508,Vegetal,Charcoal,1980,30,-,Uribe and Vidal 2012 ,X,,,,1990,1760,1890,Lowlands
