record_id,admin_region,basin,altitude_masl,altitudinal_belt,site_name,unit,sub_unit,c14_lab_code,material,material_detail,c14_bp,c14_error,d13C_ams,reference_short,context_domestic,context_funerary,context_agriculture,context_other,c14_cal_from,c14_cal_to,c14_cal_median,ecozone
363,Tarapacá,Tarapacá,1480.0,Lowland,TR4010,L3-SC01,-,UCIAMS-58821,Vegetal,Charcoal,335,15,-,Zori 2011,,,,X,440,310,400,Lowlands
364,Tarapacá,Tarapacá,1450.0,Lowland,TR4011,L1-SC01,-,UCIAMS-58822,Vegetal,Charcoal,315,15,-,Zori 2011,,,,X,440,300,320,Lowlands
365,Tarapacá,Tarapacá,1450.0,Lowland,TR4011,L2-SC01,-,UCIAMS-58823,Vegetal,Charcoal,390,15,-,Zori 2011,,,,X,490,330,390,Lowlands
366,Tarapacá,Tarapacá,1420.0,Lowland,TR4015,L3-CS01,-,UCIAMS-58824,Vegetal,Charcoal,685,15,-,Zori 2011,,,,X,660,560,600,Lowlands
367,Tarapacá,Tarapacá,1440.0,Lowland,TR4016,SC01,-,UCIAMS-58825,Vegetal,Charcoal,545,20,-,Zori 2011,,,,X,550,510,530,Lowlands
368,Tarapacá,Tarapacá,1570.0,Lowland,TR4018,CS01,-,AA-82250,Vegetal,Charcoal,499,37,-,Zori 2011,,,,X,550,460,510,Lowlands
369,Tarapacá,Tarapacá,1570.0,Lowland,TR4018,SC02,-,UCIAMS-58827,Vegetal,Charcoal,500,15,-,Zori 2011,,,,X,520,500,510,Lowlands
370,Tarapacá,Tarapacá,1545.0,Lowland,TR4083,L1-SC01,-,UCIAMS-58828,Vegetal,Charcoal,540,15,-,Zori 2011,,,,X,540,510,520,Lowlands
371,Tarapacá,Tarapacá,1545.0,Lowland,TR4083,L2-SC01,-,UCIAMS-58829,Vegetal,Charcoal,460,15,-,Zori 2011,,,,X,510,340,500,Lowlands
372,Tarapacá,Tarapacá,1545.0,Lowland,TR4083,L3A-SC01,-,UCIAMS-58830,Vegetal,Charcoal,1375,15,-,Zori 2011,,,,X,1300,1180,1240,Lowlands
373,Tarapacá,Tarapacá,1545.0,Lowland,TR4083,L3B-SC01,-,UCIAMS-58831,Vegetal,Charcoal,1235,15,-,Zori 2011,,,,X,1180,1060,1110,Lowlands
374,Tarapacá,Tarapacá,1560.0,Lowland,TR4111,L1-SC01,-,AA-82251,Vegetal,Charcoal,489,37,-,Zori 2011,,,,X,540,340,500,Lowlands
375,Tarapacá,Tarapacá,1590.0,Lowland,TR4118,SC01,-,UCIAMS-58826,Vegetal,Charcoal,365,15,-,Zori 2011,,,,X,450,320,390,Lowlands
376,Tarapacá,Tarapacá,1420.0,Lowland,Tarapacá 49,U-2,E-15,UCIAMS-58816,Vegetal,Corn cob,495,15,-,Zori 2011,X,,,,520,490,510,Lowlands
377,Tarapacá,Tarapacá,1420.0,Lowland,Tarapacá 49,U-3,E-14C,Beta-269052,Vegetal,Kernel cob,310,40,-,Zori and Urbina 2014; Uribe et al. 2012 ,X,,,,450,150,360,Lowlands
378,Tarapacá,Tarapacá,1420.0,Lowland,Tarapacá 49,U-3,E-3,Beta-269050,Vegetal,Wheat seed,350,40,-,Zori and Urbina 2014; Uribe et al. 2012 ,X,,,,490,300,390,Lowlands
379,Tarapacá,Tarapacá,1420.0,Lowland,Tarapacá 49,U-3,E-7B,Beta-269051,Vegetal,Gourd pericarp,610,40,-,Zori 2011,X,,,,650,510,570,Lowlands
380,Tarapacá,Tarapacá,1420.0,Lowland,Tarapacá 49,U-5,E-11,Beta-294703,Vegetal,Plant material ,240,30,-,Zori and Urbina 2014; Uribe et al. 2012 ,X,,,,310,140,200,Lowlands
381,Tarapacá,Tarapacá,1420.0,Lowland,Tarapacá 49,U-5,E-14-CS1,Beta-294704,Vegetal,Charcoal,370,30,-,Zori and Urbina 2014; Uribe et al. 2012 ,X,,,,490,310,390,Lowlands
382,Tarapacá,Tarapacá,1420.0,Lowland,Tarapacá 49,U-5,E-16-CS1,AA-82247,Animal,Guinea pig,662,38,-,Zori 2011,X,,,,660,550,610,Lowlands
383,Tarapacá,Tarapacá,1420.0,Lowland,Tarapacá 49,U-7,E-17-CS1,AA-82248,Vegetal,Corn cob,618,39,-,Zori 2011,X,,,,650,520,590,Lowlands
384,Tarapacá,Tarapacá,1260.0,Lowland,Tarapacá 6-7,-,-,Beta-65304,Vegetal,Maize ,1680,60,-,Oakland 2000,X,,,,1700,1380,1530,Lowlands
385,Tarapacá,Tarapacá,1260.0,Lowland,Tarapacá 6-7,-,-,CAMS-10314,Textile,Pelican-cape yarn,1690,60,-20.2,Oakland 2000; Southon et al. 2005,X,,,,1700,1410,1550,Lowlands
386,Tarapacá,Tarapacá,1260.0,Lowland,Tarapacá 6-7,-,-,CAMS-10315 ,Marine,Feather (Bird-skin cape) ,2170,60,-11.5,Southon et al. 2005,X,,,,2320,1930,2100,Lowlands
387,Tarapacá,Tarapacá,1260.0,Lowland,Tarapacá 6-7,-,-,CAMS-10316,Marine,Bird-skin,2280,50,-12.2,Southon et al. 2005,X,,,,2350,2120,2230,Lowlands
388,Tarapacá,Michincha,4340.0,Altiplano,Ujina 10,U-H1,E-1/Ext,D-AMS 009918,Vegetal,Charcoal,1050,22,-,Figueroa et al. 2018,,,,X,960,810,930,Altiplano
389,Tarapacá,Michincha,4340.0,Altiplano,Ujina 10,U-H1,E-3/N-2,D-AMS 009917,Vegetal,Charcoal,1475,22,-,Figueroa et al. 2018,,,,X,1360,1300,1330,Altiplano
390,Tarapacá,Michincha,4340.0,Altiplano,Ujina 10,U-H3,E-3/N-1,D-AMS 009915,Vegetal,Charcoal,648,26,-,Figueroa et al. 2018,,,,X,650,550,610,Altiplano
391,Tarapacá,Michincha,4340.0,Altiplano,Ujina 10,U-H3,E-3A/N-2,D-AMS 009916,Vegetal,Charcoal,883,20,-,Figueroa et al. 2018,,,,X,790,680,750,Altiplano
392,Tarapacá,Michincha,4370.0,Altiplano,Ujina 8,U-H3/B1 ,E-3/N-3,D-AMS 022761,Vegetal,Charcoal,591,26,-,Figueroa et al. 2018,,,,X,630,520,550,Altiplano
393,Tarapacá,Michincha,4370.0,Altiplano,Ujina 8,U-H3/B2 ext ,N-2/F-2,D-AMS 022762,Vegetal,Charcoal,662,30,-,Figueroa et al. 2018,,,,X,650,550,610,Altiplano
394,Tarapacá,Michincha,4370.0,Altiplano,Ujina 8,U-H4 ,E-2/N-3,D-AMS 009914,Vegetal,Charcoal,528,22,-,Figueroa et al. 2018,,,,X,540,500,520,Altiplano
395,Arica y Parinacota,Azapa,3090.0,Precordillera,Incaullo,Chullpa,Architecture,Beta-420807,Vegetal,Vegetal,280,30,-24.2,Saintenoy et al. 2019,,X,,,440,150,290,Precordillera
396,Arica y Parinacota,Azapa,3150.0,Precordillera,Huaihuarani,R-1002,Hearth 1,Beta-367293,Vegetal,Charcoal,380,30,-22.2,Saintenoy et al. 2019,X,,,,490,320,390,Precordillera
397,Arica y Parinacota,Azapa,3090.0,Precordillera,Incaullo,R-20,Filled,Beta-418827,Vegetal,Charcoal,340,30,-22.9,Saintenoy et al. 2019,X,,,,450,300,390,Precordillera
398,Arica y Parinacota,Azapa,3150.0,Precordillera,Huaihuarani,R-219,Ocupational,Beta-367294,Vegetal,Charcoal,450,30,-22.0,Saintenoy et al. 2019,X,,,,520,330,480,Precordillera
399,Arica y Parinacota,Azapa,3150.0,Precordillera,Huaihuarani,R-325,Terracing base ,Beta-446606,Vegetal,Charcoal,520,30,-24.2 ,Saintenoy et al. 2019,X,,,,540,500,520,Precordillera
400,Arica y Parinacota,Azapa,3150.0,Precordillera,Huaihuarani,R-36,F2-Sup,Beta-367292,Vegetal,Charcoal,350,30,-21.9,Saintenoy et al. 2019,X,,,,460,300,390,Precordillera
401,Arica y Parinacota,Azapa,3150.0,Precordillera,Huaihuarani,R-36,Hearth 1,Beta-368251,Vegetal,Charcoal,440,30,-23.3,Saintenoy et al. 2019,X,,,,510,330,470,Precordillera
402,Arica y Parinacota,Azapa,3150.0,Precordillera,Huaihuarani,R-36,"Hearth 2, hole",Beta-418826,Vegetal,Charcoal,590,30,-21.6,Saintenoy et al. 2019,X,,,,630,510,550,Precordillera
403,Arica y Parinacota,Azapa,3150.0,Precordillera,Huaihuarani,Square,Subsoil,-,Vegetal,Charcoal,650,30,-23.1 ,Saintenoy et al. 2019,X,,,,650,550,610,Precordillera
404,Arica y Parinacota,Azapa,3380.0,Precordillera,"Tantalcollo, Tambo",Platform,E-11,Beta-200949,Vegetal,Charcoal ,490,70,-,"Santoro et al. 2010, Gayó et al. 2015",X,,,,620,320,490,Precordillera
405,Arica y Parinacota,Azapa,100.0,Coast,Acha 2,-,-,I-15249,Vegetal,Charcoal,8900,150,-,Muñoz and Chacama 1993,,X,,,10250,9540,9930,Coast
406,Arica y Parinacota,Azapa,100.0,Coast,Acha 2,T-1,-,GX-15082,Human,Human soft tissue,8970,255,-,Aufderheide et al. 1993,,X,,,10720,9470,10030,Coast
407,Arica y Parinacota,Azapa,100.0,Coast,Acha 3,-,-,Beta-40957 ,Human,Human soft tissue,8120,90,-,Standen and Santoro 2004,,X,,,9280,8650,9000,Coast
408,Arica y Parinacota,Azapa,100.0,Coast,Acha 3,-,-,Beta-88041,Human,Human soft tissue,8380,60,-25,Standen and Santoro 2004,,X,,,9520,9130,9350,Coast
409,Arica y Parinacota,Azapa,100.0,Coast,Acha 4 ,C-1 ,-,Beta-165148 ,Vegetal,Plant material ,7530,40,-,"Standen C.P., in Gayó et al. 2015",,,,,8380,8190,8300,Coast
410,Arica y Parinacota,Azapa,3800.0,Altiplano,El Bajo,U-1/E-2,N-B,Beta-441608,Vegetal,Vegetal,1860,30,-,Sepúlveda et al. 2018,X,,,,1830,1620,1750,Altiplano
411,Arica y Parinacota,Azapa,3800.0,Altiplano,El Bajo,U-1/E-2,N-B,Beta-400068,Vegetal,Charcoal,5570,30,-22.9,Sepúlveda et al. 2018,X,,,,6400,6280,6340,Altiplano
412,Arica y Parinacota,Azapa,3800.0,Altiplano,El Bajo,U-1/N-1,F-1,Beta-385131,Vegetal,Charcoal,5110,30,-21.3,Sepúlveda et al. 2018,X,,,,5920,5730,5820,Altiplano
413,Arica y Parinacota,Tana,1130.0,Lowland,Aragon 1 ,S-10a,E-IV/Hearth 1,GaK-5965 ,Vegetal,Charcoal,5170,200,-,"P. Nuñez and Zlatar 1976, 1977-1978; Rivera 1977- 1978 ",X,,,,6390,5470,5900,Lowlands
414,Arica y Parinacota,Tana,1130.0,Lowland,Aragon 1 ,S-10a,E-V/Hearth 2,Gak-5966,Vegetal,Charcoal,8660,230,-,"P. Nuñez and Zlatar 1976, 1977-1978",X,,,,10240,9040,9690,Lowlands
415,Arica y Parinacota,Tana,1130.0,Lowland,Aragon 1 ,S-4,E-II/Hearth 3,GaK-5967 ,Vegetal,Charcoal,4480,170,-,"P. Nuñez and Zlatar 1976, 1977-1978; Rivera 1977- 1978 ",X,,,,5580,4620,5090,Lowlands
416,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",Central mound,R-5,-,Vegetal,Charred material,790,80,-,Muñoz and Focacci 1985,X,,,,900,550,690,Lowlands
417,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",Mayor mound,Central sector ,I-12355 ,Vegetal,Charred material,1090,80,-,Muñoz 1983; Muñoz and Focacci 1985,X,,,,1180,770,950,Lowlands
418,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",Mayor mound,R-29,-,Vegetal,Charred material,1140,80,-,Muñoz and Focacci 1985,X,,,,1260,800,1010,Lowlands
419,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",-,-,I-12350 ,Vegetal,Organic material ,790,80,-,Munoz 1983 ,,X,,,900,550,690,Lowlands
420,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",-,-,I-12351 ,Vegetal,Organic material ,1090,80,-,Munoz 1983 ,,X,,,1180,770,950,Lowlands
421,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",-,-,I-12352 ,Vegetal,Organic material ,1140,80,-,Munoz 1983 ,,X,,,1260,800,1010,Lowlands
422,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",R-33,-,-,Vegetal,Charred material,1160,80,-,Muñoz and Focacci 1985,X,,,,1260,820,1030,Lowlands
423,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",Removed,-,I-11623,Human,Human soft tissue,1360,80,-,Focacci 1982,,X,,,1370,1060,1220,Lowlands
424,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",Wall base,-,-,Vegetal,Charred material,1090,90,-,Muñoz and Focacci 1985,X,,,,1180,770,950,Lowlands
425,Arica y Parinacota,Azapa,250.0,Lowland,"San Lorenzo, Pukara",-,-,I-12334 ,Vegetal,Charred material,1160,80,-,Munoz 1983 ,,X,,,1260,820,1030,Lowlands
426,Arica y Parinacota,Azapa,240.0,Lowland,Azapa 115,-,-,Beta-394140,Human,Human soft tissue,1360,30,-17.8,Muñoz 2017,,X,,,1290,1180,1230,Lowlands
427,Arica y Parinacota,Azapa,240.0,Lowland,Azapa 115,-,-,Beta-394142,Animal,Camelid fiber ,1410,30,-20.2,Muñoz 2017,,X,,,1350,1180,1290,Lowlands
428,Arica y Parinacota,Azapa,240.0,Lowland,Azapa 115,-,-,Beta-394145,Vegetal,Vegetal,1510,30,-26.2,Muñoz 2017,,X,,,1410,1310,1350,Lowlands
429,Arica y Parinacota,Azapa,240.0,Lowland,Azapa 115,-,-,Beta-394141,Vegetal,Vegetal,1530,30,-20.3,Muñoz 2017,,X,,,1420,1310,1360,Lowlands
430,Arica y Parinacota,Azapa,240.0,Lowland,Azapa 115,-,-,Beta-394144,Human,Human soft tissue,1760,30,-21.7,Muñoz 2017,,X,,,1700,1540,1630,Lowlands
431,Arica y Parinacota,Azapa,240.0,Lowland,Azapa 115,-,-,Beta-412336,Human,Human soft tissue,1790,30,-13.5,Muñoz 2017,,X,,,1730,1580,1650,Lowlands
432,Arica y Parinacota,Azapa,240.0,Lowland,Azapa 115,-,-,Beta-394143,Human,Human soft tissue,1800,30,-,Muñoz 2017,,X,,,1740,1590,1650,Lowlands
433,Arica y Parinacota,Azapa,240.0,Lowland,Azapa 115,-,-,Beta-394146,Human,Human soft tissue,1830,30,-,Muñoz 2017,,X,,,1820,1610,1710,Lowlands
434,Arica y Parinacota,Azapa,270.0,Lowland,Azapa 12,Tumu-1,E-11,Beta-302504,Vegetal,Vegetal,2340,60,-,Muñoz et al. 2014,,X,,,2660,2130,2260,Lowlands
435,Arica y Parinacota,Azapa,270.0,Lowland,Azapa 12,Tumu-1,E-2,Beta-302503,Vegetal,Vegetal,2470,70,-,Muñoz et al. 2014,,X,,,2730,2340,2510,Lowlands
436,Arica y Parinacota,Azapa,3230.0,Precordillera,Zapahuira Chullpas ,Chullpa 1,Architecture,Ua-2910,Vegetal,Ichu fiber,535,95,-,Muñoz and Chacama 2006,,X,,,660,320,520,Precordillera
437,Arica y Parinacota,Azapa,3230.0,Precordillera,Zapahuira Chullpas ,Chullpa 2,Architecture,Ua-2911,Vegetal,Ichu fiber,660,60,-,Muñoz and Chacama 2006,,X,,,670,530,600,Precordillera
438,Arica y Parinacota,Azapa,3400.0,Precordillera,Chapicollo 1 ,-,-,Beta-24354 ,Vegetal,Charcoal ,2390,60,-,"Santoro C.P., in Gayó et al. 2015",X,,,,2700,2150,2390,Precordillera
439,Arica y Parinacota,Azapa,3240.0,Precordillera,"Zapahuira, Tambo ",R-17,E-4,Beta-200945,Vegetal,Charcoal ,330,50,-,Santoro et al. 2010; Gayó et al. 2015,X,,,,490,160,380,Precordillera
440,Arica y Parinacota,Azapa,3240.0,Precordillera,"Zapahuira, Tambo ",R-17,E-4,Beta-200946,Vegetal,Charcoal ,420,50,-,Santoro et al. 2010; Gayó et al. 2015,X,,,,510,320,430,Precordillera
441,Arica y Parinacota,Azapa,3240.0,Precordillera,"Zapahuira, Tambo ",R-2,E-3,Beta-189245,Vegetal,Charcoal ,290,50,-,Santoro et al. 2010; Gayó et al. 2015,X,,,,460,140,310,Precordillera
442,Arica y Parinacota,Azapa,3240.0,Precordillera,"Zapahuira, Tambo ",R-2,E-6,Beta-189246,Vegetal,Charcoal ,590,50,-,Santoro et al. 2010; Gayó et al. 2015,X,,,,650,500,550,Precordillera
443,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-100,-,Beta-78631 ,Animal,Camelid fiber textile ,530,50,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,630,460,520,Lowlands
444,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-101,-,Beta-78968 ,Animal,Camelid fiber textile ,690,60,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,710,540,610,Lowlands
445,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-105,-,I-12336 ,Human,human soft tissue ,980,80,-,Munoz 1983 ,,X,,,960,680,840,Lowlands
446,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-118,-,Beta-78969 ,Animal,Camelid fiber textile ,820,60,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,880,570,710,Lowlands
447,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-122,-,Beta-78632 ,Animal,Camelid fiber textile ,690,60,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,710,540,610,Lowlands
448,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-127,-,Beta-78633 ,Animal,Camelid fiber textile ,880,70,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,910,670,760,Lowlands
449,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-128,-,Beta-78965 ,Animal,Camelid fiber textile ,800,70,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,880,560,690,Lowlands
450,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-16,-,Beta-78966 ,Animal,Camelid fiber textile ,740,60,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,730,560,640,Lowlands
451,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-23,-,I-12349 ,Human,human soft tissue ,980,80,-,Munoz 1983 ,,X,,,960,680,840,Lowlands
452,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-24B,-,Beta-78964 ,Animal,Camelid fiber textile ,740,60,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,730,560,640,Lowlands
453,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-28,-,Beta-78628,Animal,Camelid fiber textile ,560,50,-,"Cassman 1997, in Korpisari et al. 2014",,X,,,630,490,540,Lowlands
454,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-36 ,-,I-12337 ,Human,Human soft tissue,1000,80,-,Munoz 1983 ,,X,,,1050,690,860,Lowlands
455,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-44,-,Beta-78967 ,Animal,Camelid fiber textile ,500,60,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,630,330,500,Lowlands
456,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-56,-,Beta-78629 ,Animal,Camelid fiber textile ,740,70,-,"Cassman 1997, in Korpisari et al. 2014",,X,,,740,550,640,Lowlands
457,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-6,-,Beta-78627 ,Animal,Camelid fiber textile ,450,50,-,Cassman 1997 in Gayó et al. 2015,,X,,,530,320,460,Lowlands
458,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-71,-,Beta-78630 ,Animal,Camelid fiber textile ,670,60,-,"Cassman and Arriaza 1997, in Sutter 2005 ",,X,,,670,530,600,Lowlands
459,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-75,-,I-12348 ,Human,human soft tissue ,1190,80,-,Munoz 1983 ,,X,,,1270,920,1060,Lowlands
460,Arica y Parinacota,Azapa,280.0,Lowland,Azapa 140,T-XPB2A,-,I-12335 ,Human,human soft tissue ,1070,80,-,Munoz 1983 ,,X,,,1180,740,930,Lowlands
461,Arica y Parinacota,Azapa,600.0,Lowland,Azapa 141,-,-,I-13779 ,Human,Human soft tissue,570,80,-,Standen C.P. in Gayó et al. 2015,,X,,,660,340,550,Lowlands
462,Arica y Parinacota,Azapa,600.0,Lowland,Azapa 141,T-20,-,Hela-3333,Vegetal,Vegetal,819,34,-26.4,Korpisaari et al. 2014,,X,,,760,660,700,Lowlands
463,Arica y Parinacota,Azapa,600.0,Lowland,Azapa 141,T-24,-,I-13780 ,Vegetal,Charcoal,930,80,-,Standen C.P. in Gayó et al. 2015,,X,,,930,670,800,Lowlands
464,Arica y Parinacota,Azapa,600.0,Lowland,Azapa 141,T-47,-,-,Human,Human soft tissue,980,80,-,"Sutter 2005, in Korpisaari et al. 2014",,X,,,960,680,840,Lowlands
465,Arica y Parinacota,Azapa,600.0,Lowland,Azapa 141,T-48,-,Hela-3134,Vegetal,Basketry ,939,35,-23.9,Korpisaari et al. 2014,,X,,,910,730,800,Lowlands
466,Arica y Parinacota,Azapa,600.0,Lowland,Azapa 141,T-52,-,I-14093,Human,Human soft tissue,870,80,-,"Sutter 2005, in Korpisaari et al. 2014",,X,,,920,580,750,Lowlands
467,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 143,M-1,-,Hela-3179,Textile,Textile,1117,32,-20.3,Korpisaari et al. 2014,,X,,,1060,930,980,Lowlands
468,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 143,M-2,-,Hela-3157,Textile,Textile,877,28,-19.4,Korpisaari et al. 2014,,X,,,790,680,740,Lowlands
469,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 143,T-2A,-,Beta-412337,Human,Human soft tissue,830,30,-14.4,Muñoz 2019,,X,,,760,670,700,Lowlands
470,Arica y Parinacota,Azapa,430.0,Lowland,Las Riveras,T-1,-,Beta-412339,Human,Human soft tissue,1040,30,-15.8,Muñoz 2019,,X,,,960,800,900,Lowlands
471,Arica y Parinacota,Azapa,320.0,Lowland,Azapa 146,T-2,-,Beta-189247,Human,Human soft tissue,2110,60,-,Standen et al. 2009,,X,,,2300,1890,2040,Lowlands
472,Arica y Parinacota,Azapa,150.0,Lowland,Azapa 148,Tumu-1,E-2,Beta-302505,Vegetal,Vegetal,2370,40,-,Muñoz et al. 2014,,X,,,2490,2150,2340,Lowlands
473,Arica y Parinacota,Azapa,150.0,Lowland,Azapa 148,Tumu-1,E-8,Beta-302506,Vegetal,Vegetal,2500,60,-,Muñoz et al. 2014,,X,,,2720,2360,2540,Lowlands
474,Arica y Parinacota,Azapa,180.0,Lowland,Azapa 17,Tumu-1,E-6,Beta-302510,Vegetal,Vegetal,2270,50,-,Muñoz et al. 2014,,X,,,2340,2110,2230,Lowlands
475,Arica y Parinacota,Azapa,180.0,Lowland,Azapa 17,Tumu-1,E-5,Beta-302507,Vegetal,Vegetal,2300,60,-,Muñoz et al. 2014,,X,,,2410,2100,2230,Lowlands
476,Arica y Parinacota,Azapa,180.0,Lowland,Azapa 17,Tumu-1,E-1 ,Beta-302511,Vegetal,Vegetal,2320,40,-,Muñoz et al. 2014,,X,,,2360,2140,2230,Lowlands
477,Arica y Parinacota,Azapa,80.0,Coast,Azapa 24,Tumu-1,E-1,Beta-279616,Vegetal,Vegetal,2200,40,-,Muñoz et al. 2014,,X,,,2320,2010,2140,Coast
478,Arica y Parinacota,Azapa,80.0,Coast,Azapa 24,Tumu-1,E-5,Beta-279617,Vegetal,Vegetal,2230,40,-,Muñoz et al. 2014,,X,,,2330,2090,2230,Coast
479,Arica y Parinacota,Azapa,3240.0,Precordillera,"Zapahuira, Collcas",R-6,Architecture,Ua-2912,Vegetal,Ichu fiber,435,105,-,"Paarsinen 2003, In Muñoz and Chacama 2006; Romero et al. 2008",X,,,,650,140,410,Precordillera
480,Arica y Parinacota,Azapa,3180.0,Precordillera,Ancopachane,Chullpa,Architecture,Beta-420806,Vegetal,Vegetal,320,30,-24.8,Saintenoy et al. 2019,,X,,,450,290,380,Precordillera
481,Arica y Parinacota,Azapa,3170.0,Precordillera,Chajpa ,-,-,-,Vegetal,Charcoal ,480,60,-,Dauelsberg 1983; Gayó et al. 2015,X,,,,550,320,480,Precordillera
482,Arica y Parinacota,Azapa,3170.0,Precordillera,Ancopachane,-,-,-,Vegetal,Charcoal ,520,70,-,Dauelsberg 1983; Gayó et al. 2015,X,,,,640,330,510,Precordillera
483,Arica y Parinacota,Azapa,3180.0,Precordillera,Ancopachane,R-155,Ocupational,Beta-420804,Vegetal,Charcoal,360,30,-22.5,Saintenoy et al. 2019,X,,,,470,310,390,Precordillera
484,Arica y Parinacota,Azapa,3180.0,Precordillera,Ancopachane,R-161,Ocupational,Beta-420805,Vegetal,Charcoal,240,30,-23.0,Saintenoy et al. 2019,X,,,,310,140,200,Precordillera
485,Arica y Parinacota,Azapa,1490.0,Lowland,Achuyo,EA-115,E-2/N-5,UCIAMS-232621,Vegetal,Maize ,560,15,-,Mendez-Quiros et al. 2022,X,,,,550,510,530,Lowlands
486,Arica y Parinacota,Azapa,1490.0,Lowland,Achuyo,EA-115,E-5/N-8,UCIAMS-235987,Vegetal,Maize ,690,15,-,Mendez-Quiros et al. 2022,X,,,,660,560,600,Lowlands
487,Arica y Parinacota,Azapa,1490.0,Lowland,Achuyo,EA-151,E-5/N-7,UCIAMS-236288,Vegetal,Maize ,610,15,-,Mendez-Quiros et al. 2022,X,,,,630,540,560,Lowlands
488,Arica y Parinacota,Azapa,1490.0,Lowland,Achuyo,EA-75,Architecture,UCIAMS-232619,Vegetal,Maize ,695,15,-,Mendez-Quiros et al. 2022,X,,,,660,560,600,Lowlands
489,Arica y Parinacota,Azapa,1490.0,Lowland,Achuyo,EA-99,E-5/N-9,UCIAMS-232620,Vegetal,Branch,610,15,-,Mendez-Quiros et al. 2022,X,,,,630,540,560,Lowlands
490,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,-,-,Beta-226815 ,Human,Human hair & skin? ,990,40,-,"Arriaza 2007, in Gayó et al. 2015",,X,,,930,770,850,Lowlands
491,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-102,-,Hela-3184,Vegetal,Basketry ,924,28,-25.6,Korpisaari et al. 2014,,X,,,900,730,780,Lowlands
492,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-121,-,Hela-3185,Vegetal,Basketry ,877,29,-25.5,Korpisaari et al. 2014,,X,,,790,680,740,Lowlands
493,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-127,-,GAK-5817,Textile,Textile,1220,80,-,Focacci 1982,,X,,,1270,930,1090,Lowlands
494,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-141,-,I-11622,Vegetal,Maize and sweet potato,715,130,-,Focacci 1982,,X,,,910,490,640,Lowlands
495,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-141,-,I-11625,Vegetal,Coca,910,145,-,Focacci 1982,,X,,,1060,560,800,Lowlands
496,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-163,-,Hela-3142,Vegetal,Wood,918,29,-22.5,Korpisaari et al. 2014,,X,,,900,720,770,Lowlands
497,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-202,-,Hela-3143,Textile,Textile,636,30,-10.9,Korpisaari et al. 2014,,X,,,650,540,610,Lowlands
498,Arica y Parinacota,Azapa,300.0,Lowland,Azapa 6,T-25,-,GAK-5816,Vegetal,Sweet potato,1570,65,-,Focacci 1982,,X,,,1560,1300,1420,Lowlands
