site_name,lat,lon,altitude_masl,locality,admin_region,ecozone,period,period_from,period_to
TGN1,-23.066073,-70.373036,25.0,"Mejillones Bay, Mejillones Port",Antofagasta,Coast,Late Formative/Middle Horizon (Northern Chile),-300.0,-200.0
TGN2,-23.066073,-70.373036,25.0,"Mejillones Bay, Mejillones Port",Antofagasta,Coast,Middle Formative (Northern Chile),-1000.0,100.0
Talabre-Lejía Transect,-23.40508,-67.79452,3972.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 01,-23.50305,-67.72371,4480.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 02,-23.45127,-67.77322,4370.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 03,-23.4323,-67.7828,4270.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 04,-23.42283,-67.78008,4174.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 05,-23.41518,-67.78575,4072.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 06,-23.40508,-67.79452,3970.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 07,-23.38819,-67.80757,3870.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 08,-23.32856,-67.7989,3870.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 09,-23.32218,-67.8162,3770.0,Laguna Lejía to Salar de Atacama,Antofagasta,Altiplano,Modern,,
Talabre-Lejía Transect 10,-23.32268,-67.8318,3670.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 11,-23.31946,-67.84906,3570.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 12,-23.31766,-67.86342,3470.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 13,-23.31377,-67.87685,3370.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 14,-23.31291,-67.89014,3270.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 15,-23.3101,-67.90332,3170.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 16,-23.31005,-67.91876,3070.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 17,-23.30211,-67.93427,2970.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 18,-23.28868,-67.94587,2870.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 19,-23.28113,-67.95757,2770.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Talabre-Lejía Transect 20,-23.28023,-67.9694,2670.0,Laguna Lejía to Salar de Atacama,Antofagasta,Precordillera,Modern,,
Tana Norte,-19.461506,-69.976977,1085.0,"Quebrada Tana, Tiliviche",Tarapacá,Lowlands,Late Intermediate Period (Northern Chile),1100.0,1450.0
Tana Sur,-19.461506,-69.976977,1080.0,"Quebrada Tana, Tiliviche",Tarapacá,Lowlands,Late Intermediate Period (Northern Chile),1100.0,1450.0
Tarapacá 13,-20.02,-69.59,1197.0,Middle Tarapacá Valley,Tarapacá,Lowlands,Late Intermediate Period (Northern Chile),1100.0,1450.0
Tarapacá 40,-19.980554,-69.565488,1266.0,Middle Tarapacá Valley,Tarapacá,Lowlands,Early Formative Period (Northern Chile),-1500.0,-1000.0
Tarapacá 49,-19.980554,-69.565488,1266.0,Middle Tarapacá Valley,Tarapacá,Lowlands,Late Period (Northern Chile),1450.0,1532.0
Tchecar (Túmulo Sur),-22.935778,-68.209444,2415.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Middle Horizon (Northern Chile),400.0,1000.0
Tiliviche,-19.550346,-69.944954,1030.0,"Interior Desert, Tiliviche",Tarapacá,Lowlands,Modern,,
Tiliviche 1B,-19.548889,-69.971111,1030.0,"Interior Desert, Tiliviche",Tarapacá,Lowlands,Late Archaic (Northern Chile),-3000.0,-1500.0
Tiliviche 2,-19.548889,-69.971111,1030.0,Tiliviche,Tarapacá,Lowlands,Late Archaic (Northern Chile),-3000.0,-1500.0
Toconao Oriente,-23.8089,-68.0676,2679.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-400.0,310.0
Toconce,-22.263972,-68.166845,3295.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Late Intermediate Period (Northern Chile),900.0,1485.0
Tocopilla,-22.08818,-70.19783,12.0,"Coast of Tocopilla, Tocopilla",Antofagasta,Coast,Formative/Late Intermediate (Northern Chile),-1500.0,1400.0
Topater,-22.458692,-68.848113,2357.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-1500.0,400.0
Tulán,-23.8065,-68.0736,2626.0,"Interior Desert, South of Salar de Atacama",Antofagasta,Precordillera,Late Archaic (Northern Chile),-3000.0,-1500.0
Tulán 109,-23.8065,-68.0736,2626.0,"Interior Desert, South of Salar de Atacama",Antofagasta,Precordillera,Early Archaic (Northern Chile),-8000.0,-5000.0
Tulán 54,-23.8089,-68.0676,2679.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-1400.0,400.0
Tulán 58,-23.8089,-68.0676,2679.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-400.0,-180.0
Tulán 67,-23.8065,-68.0736,2626.0,"Interior Desert, South of Salar de Atacama",Antofagasta,Precordillera,Early Archaic (Northern Chile),-8000.0,-5000.0
Tulán 68,-23.8065,-68.0736,2626.0,"Interior Desert, South of Salar de Atacama",Antofagasta,Precordillera,Early Archaic (Northern Chile),-8000.0,-5000.0
Tulán 85,-23.8065,-68.0736,2626.0,Salar de Atacama,Antofagasta,Precordillera,Early Formative Period (Northern Chile),-1100.0,-400.0
Villa Chuqui,-22.4545,-68.9292,2266.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-1500.0,400.0
Yaye Occidental,-22.923753,-68.214667,2426.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Middle Horizon/Late Intermediate Period (Northern Chile),750.0,1250.0
Yaye-2,-22.922,-68.2123,2429.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Middle Horizon/Late Intermediate Period (Northern Chile),750.0,1250.0
Yaye-3,-22.921,-68.209,2431.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Middle Horizon/Late Intermediate Period (Northern Chile),750.0,1250.0
Yaye-4,-22.922,-68.2123,2429.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Middle Horizon/Late Intermediate Period (Northern Chile),750.0,1250.0
Zapatero,-24.8422,-70.5329,84.0,Taltal area,Antofagasta,Coast,Middle Horizon (Northern Chile),250.0,950.0
