site_name,period_broad,period,lab_id,period_from,period_to,sample_id,lat,lon,altitude_masl,c14_method,c14_lab_code,c14_bp,c14_error,c14_cal_from,c14_cal_to,material_dated,sex,age_category,age_min,age_max,sample_type,tissue,element,tissue_age,tissue_age_min,tissue_age_max,yield_pct,wt_C,wt_N,CN_ratio,d13C,d15N,wt_S,d34S,tissue_carbonate,element_carbonate,tissue_age_carbonate,tissue_age_carbonate_min,tissue_age_carbonate_max,d13C_carbonate,d18O_carbonate,Sr87_Sr86,reference_short,doi,locality,admin_region,ecozone
Azapa 70,Formative,Formative,22453.D.III,-500.0,100,Az-70 TLO7 C-4 Pelo 2,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair D 4-6,Adult,,,,45.9,15.4,3.5,-18.7,11.3,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.D.IV,-500.0,100,Az-70 TLO7 C-4 Pelo 2,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair D 6-8,Adult,,,,46.8,15.9,3.4,-15.8,11.2,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.E.I,-500.0,100,Az-70 TLO7 C-4 Pelo 3,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair E 0-2,Adult,,,,43.5,14.6,3.5,-19.8,9.7,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.E.II,-500.0,100,Az-70 TLO7 C-4 Pelo 3,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair E 2-4,Adult,,,,44.6,15.1,3.5,-19.7,11.1,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.E.III,-500.0,100,Az-70 TLO7 C-4 Pelo 3,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair E 4-6,Adult,,,,49.8,17.0,3.4,-16.6,11.3,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.B.I,-500.0,100,Az-70 TLO7 C-4 Pelo 4,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair B 0-1,Adult,,,,42.0,15.2,3.2,-17.3,9.8,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.B.II,-500.0,100,Az-70 TLO7 C-4 Pelo 4,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair B 1-2,Adult,,,,47.6,16.5,3.4,-17.1,10.1,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.B.III,-500.0,100,Az-70 TLO7 C-4 Pelo 4,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair B 3-4,Adult,,,,43.0,15.1,3.3,-19.9,8.1,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.B.IV,-500.0,100,Az-70 TLO7 C-4 Pelo 4,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair B 5-6,Adult,,,,42.9,14.5,3.5,-19.5,8.4,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.B.V,-500.0,100,Az-70 TLO7 C-4 Pelo 4,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair B 7-8,Adult,,,,42.9,14.5,3.5,-19.4,9.2,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.B.VI,-500.0,100,Az-70 TLO7 C-4 Pelo 4,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair B 9-10,Adult,,,,45.2,15.8,3.3,-19.7,8.5,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.B.VII,-500.0,100,Az-70 TLO7 C-4 Pelo 4,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair B 11-12,Adult,,,,41.1,13.7,3.5,-19.7,10.3,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Formative,22453.B.VIII,-500.0,100,Az-70 TLO7 C-4 Pelo 4,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Hair,Hair keratin,Hair B 13-14,Adult,,,,42.5,14.4,3.5,-18.2,10.3,,,,,,,,,,,Silva-Pinto et al. (2014),https://roderic.uv.es/bitstream/handle/10550/42550/Silva-Pinto%20et%20al%202014.pdf?sequence=1,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 71,Formative,Formative,Az71-267,-1500.0,400,Az71-267,-18.518711,-70.172905,296,,,,,,,,und,Adult,,,Bone,Bone collagen,Metacarpal,Adult,,,22.7,43.2,15.3,2.8,-12.5,23.4,,,,,,,,,,,Petruzzelli et al. (2012),https://www.researchgate.net/publication/267827070_Stable_carbon_and_nitrogen_isotopic_analysis_of_skeletal_remains_from_Azapa_71_and_Pica-8_Northern_Chile_an_assessment_of_humand_diet_and_landscape_use_in_the_Late_Holocene,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 71,Formative,Formative,Az71-288b,-1500.0,400,Az71-288b,-18.518711,-70.172905,296,,,,,,,,F,Subadult,,,Bone,Bone collagen,Rib,Subadult,,,7.6,43.4,15.0,2.9,-18.2,16.6,,,,,,,,,,,Petruzzelli et al. (2012),https://www.researchgate.net/publication/267827070_Stable_carbon_and_nitrogen_isotopic_analysis_of_skeletal_remains_from_Azapa_71_and_Pica-8_Northern_Chile_an_assessment_of_humand_diet_and_landscape_use_in_the_Late_Holocene,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T4a,-1500.0,500,Az75 T4a,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,2.0,Tooth,Dentin collagen,dm1 (section 1),Fetus,,-0.2,,44.9,14.1,3.7,-16.0,22.1,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T4a,-1500.0,500,Az75 T4a,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,2.0,Tooth,Dentin collagen,dm1 (section 2),Fetus/Infant-1,-0.2,0.1,,43.3,14.3,3.5,-16.1,23.7,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T4a,-1500.0,500,Az75 T4a,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,2.0,Tooth,Dentin collagen,dm1 (section 3),Infant-1,0.1,0.4,,43.6,14.0,3.6,-16.0,24.3,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T4a,-1500.0,500,Az75 T4a,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,2.0,Tooth,Dentin collagen,dm1 (section 4),Infant-1,0.4,0.7,,45.4,14.6,3.6,-15.7,24.2,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T4a,-1500.0,500,Az75 T4a,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,2.0,Tooth,Dentin collagen,dm1 (section 5),Infant-1,0.7,1.0,,44.3,14.4,3.6,-15.4,23.4,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T4a,-1500.0,500,Az75 T4a,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,2.0,Tooth,Dentin collagen,dm1 (section 6),Infant-2,1.0,1.3,,43.9,14.7,3.5,-15.1,22.6,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T4a,-1500.0,500,Az75 T4a,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,2.0,Tooth,Dentin collagen,dm1 (section 7),Infant-2,1.3,1.6,,42.4,14.3,3.5,-15.5,21.9,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T4a,-1500.0,500,Az75 T4a,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,2.0,Tooth,Dentin collagen,dm1 (section 8),Infant-2,1.6,1.9,,42.3,14.3,3.4,-15.9,21.3,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T4a,-1500.0,500,Az75 T4a,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,2.0,Tooth,Dentin collagen,dm1 (section 9),Infant-2,1.9,2.2,,42.6,14.2,3.5,-15.5,20.7,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 1),Fetus,,-0.2,,42.4,14.4,3.4,-13.6,16.4,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 2),Fetus/Infant-1,-0.2,0.2,,43.6,14.5,3.5,-13.7,18.3,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 3),Infant-1,0.2,0.6,,44.2,14.8,3.5,-14.9,18.4,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
