site_name,period_broad,period,lab_id,period_from,period_to,sample_id,lat,lon,altitude_masl,c14_method,c14_lab_code,c14_bp,c14_error,c14_cal_from,c14_cal_to,material_dated,sex,age_category,age_min,age_max,sample_type,tissue,element,tissue_age,tissue_age_min,tissue_age_max,yield_pct,wt_C,wt_N,CN_ratio,d13C,d15N,wt_S,d34S,tissue_carbonate,element_carbonate,tissue_age_carbonate,tissue_age_carbonate_min,tissue_age_carbonate_max,d13C_carbonate,d18O_carbonate,Sr87_Sr86,reference_short,doi,locality,admin_region,ecozone
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 4),Infant-1,0.6,1.0,,43.2,14.2,3.6,-15.2,18.0,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 5),Infant-1,1.0,1.4,,42.9,14.2,3.5,-15.5,17.7,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 6),Infant-2,1.4,1.9,,42.5,14.2,3.5,-14.5,17.5,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 7),Infant-2,1.9,2.3,,41.7,13.7,3.6,-14.2,17.6,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 8),Infant-2,2.3,2.7,,43.0,14.1,3.6,-15.7,18.0,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 9),Infant-2,2.7,3.1,,43.4,13.6,3.7,-17.0,17.2,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,Az75 T56,-1500.0,500,Az75 T56,-18.5242323,-70.187611,280,,,,,,,,und,Infant-2,2.0,3.0,Tooth,Dentin collagen,dm1 (section 10),Infant-2,3.1,3.5,,43.5,13.5,3.7,-15.9,16.9,,,,,,,,,,,King et al. (2018b),http://dx.doi.org/10.4067/S0717-73562018005000802,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,T-43,-1000.0,100,T-43,-18.5242323,-70.187611,280,,,,,,,,F,Middle Adult,35.0,40.0,Bone,Bone collagen,,Adult,,,28.5,22.3,7.7,2.9,-13.2,20.0,,,,,,,,,,,Aufderheide et al. (2002),http://dx.doi.org/10.4067/S0717-73562002000200007,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,T-46,-1000.0,100,T-46,-18.5242323,-70.187611,280,14C,GX18253,2290.0,240.0,-733.0,-40.0,Mummified tissue (liver),M,Child-1,6.0,8.0,Bone,Bone collagen,,Child-1,6.0,8.0,32.2,32.1,10.3,3.1,-14.4,14.4,,,Bone apatite,,Child-1,6.0,8.0,-10.6,,,Aufderheide et al. (2002),http://dx.doi.org/10.4067/S0717-73562002000200007,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 75,Formative,Formative,T-57,-1000.0,100,T-57,-18.5242323,-70.187611,280,,,,,,,,M,Middle Adult,35.0,40.0,Bone,Bone collagen,,Adult,,,38.7,27.2,9.5,2.9,-14.5,17.2,,,Bone apatite,,Adult,,,-11.8,,,Aufderheide et al. (2002),http://dx.doi.org/10.4067/S0717-73562002000200007,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands
